STATION,NAME,DATE,PRCP,SNOW,SNWD
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/1/2020,0.01,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/2/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/3/2020,0.52,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/4/2020,0.52,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/5/2020,0.14,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/6/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/7/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/8/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/9/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/10/2020,0.02,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/11/2020,0.5,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/12/2020,0.59,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/13/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/14/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/15/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/16/2020,0.01,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/17/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/18/2020,0.2,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/19/2020,0.47,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/20/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/21/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/22/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/23/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/24/2020,0.3,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/25/2020,0.39,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/26/2020,0.05,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/27/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/28/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/29/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/30/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",1/31/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/1/2020,0.09,0.9,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/2/2020,0.03,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/3/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/4/2020,0.04,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/5/2020,0.44,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/6/2020,0.37,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/7/2020,0.07,1,1
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/8/2020,0.05,1,1
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/9/2020,0.02,0.2,0.5
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/10/2020,0.2,0.1,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/11/2020,0.15,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/12/2020,0.03,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/13/2020,1.08,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/14/2020,0.02,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/15/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/16/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/17/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/18/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/19/2020,0.15,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/20/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/21/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/22/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/23/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/24/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/25/2020,0.58,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/26/2020,0.16,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/27/2020,0.24,0.1,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/28/2020,0.01,0.5,0.5
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",2/29/2020,0.02,0.2,0.2
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/1/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/2/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/3/2020,0.32,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/4/2020,0.03,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/5/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/6/2020,0.01,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/7/2020,0.02,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/8/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/9/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/10/2020,0.25,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/11/2020,0.2,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/12/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/13/2020,0.35,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/14/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/15/2020,0.31,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/16/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/17/2020,0.02,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/18/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/19/2020,1.25,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/20/2020,1.47,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/21/2020,0.02,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/22/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/23/2020,0.05,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/24/2020,0.03,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/25/2020,0.13,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/26/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/27/2020,0.03,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/28/2020,0.14,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/29/2020,0.43,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/30/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",3/31/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/1/2020,0.03,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/2/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/3/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/4/2020,0,0,0
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/5/2020,0.04,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/6/2020,0.07,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/7/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/8/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/9/2020,0.56,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/10/2020,0.06,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/11/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/12/2020,0.05,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/13/2020,0.85,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/14/2020,0.04,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/15/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/16/2020,0.01,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/17/2020,0.01,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/18/2020,0.29,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/19/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/20/2020,0.03,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/21/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/22/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/23/2020,0.01,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/24/2020,0.6,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/25/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/26/2020,0.36,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/27/2020,0.28,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/28/2020,0.03,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/29/2020,0.03,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",4/30/2020,0.27,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/1/2020,0.07,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/2/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/3/2020,0.18,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/4/2020,0.31,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/5/2020,0.14,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/6/2020,0.04,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/7/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/8/2020,0.03,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/9/2020,0.53,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/10/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/11/2020,0.06,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/12/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/13/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/14/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/15/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/16/2020,0.17,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/17/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/18/2020,0.1,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/19/2020,3.39,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/20/2020,0.82,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/21/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/22/2020,0.16,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/23/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/24/2020,1.44,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/25/2020,0.06,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/26/2020,0.02,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/27/2020,0.04,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/28/2020,0.17,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/29/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/30/2020,0.03,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",5/31/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/1/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/2/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/3/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/4/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/5/2020,0.06,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/6/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/7/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/8/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/9/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/10/2020,0.17,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/11/2020,0.28,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/12/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/13/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/14/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/15/2020,0.08,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/16/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/17/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/18/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/19/2020,0.04,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/20/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/21/2020,0,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/22/2020,0.41,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/23/2020,0.87,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/24/2020,0.34,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/25/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/26/2020,0,0,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/27/2020,0.8,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/28/2020,0.22,,
US1OHHM0037,"CHERRY GROVE 0.4 NW, OH US",6/29/2020,0.9,,
